Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
8/12/18,4011,11193,5.3,6,585,257,21,57,2224
8/13/18,4196,17014,8.0,17,771,222,25,98,2424
8/14/18,3454,8448,4.0,11,719,264,9,12,1598
8/15/18,4079,12259,5.8,8,704,213,23,56,2158
8/16/18,3490,8039,3.8,18,877,311,7,6,1678
8/17/18,4610,16482,7.8,11,608,198,9,125,2686
8/18/18,2921,4657,2.2,8,551,198,0,0,972
8/19/18,4381,13461,6.4,16,796,243,30,83,2595
8/20/18,4041,11763,5.6,3,624,239,1,64,2190
8/21/18,3393,6274,3.0,4,689,212,6,8,1319
8/22/18,3811,8678,4.1,5,845,200,13,48,1852
8/23/18,4232,14696,6.9,11,653,210,18,79,2261
8/24/18,2168,68,0.0,0,994,7,0,0,32
8/25/18,3719,4054,1.9,7,1190,204,23,23,1731
8/26/18,799,207,0.1,1,28,13,0,0,51
8/27/18,4458,15714,7.5,15,608,259,9,96,2692
8/28/18,3757,12569,5.9,14,717,218,8,58,1874
8/29/18,3222,8559,4.0,16,853,166,4,35,1266
8/30/18,3253,6682,3.2,7,793,234,14,9,1389
8/31/18,4415,15415,7.5,17,744,211,8,104,2640
9/1/18,3020,3952,1.9,7,798,133,13,5,852
9/2/18,2918,3181,1.5,6,872,163,0,0,811
9/3/18,2936,4743,2.2,6,754,155,8,15,915
9/4/18,3201,7343,3.5,5,631,269,6,3,1374
9/5/18,3395,7943,3.9,18,1040,184,16,33,1514
9/6/18,2907,5641,2.7,5,746,195,0,0,983
9/7/18,3829,9591,4.5,7,683,242,20,43,1922
9/8/18,4031,13798,6.7,16,634,237,16,76,2230
9/9/18,3682,9360,4.4,9,734,234,22,46,1872
9/10/18,2977,5951,2.8,18,835,158,10,4,1002
9/11/18,2824,4446,2.1,1,781,154,6,4,829
9/12/18,3047,7512,3.5,6,676,179,17,13,1175
9/13/18,3044,6480,3.1,10,885,190,1,13,1118
9/14/18,3080,7021,3.3,3,871,179,18,7,1125
9/15/18,3180,9445,4.5,77,849,134,23,51,1287
9/16/18,3344,9015,4.3,102,586,184,30,38,1494
9/17/18,2952,5628,2.7,2,990,134,24,13,985
9/18/18,2997,6247,3.0,11,866,196,1,11,1074
9/19/18,3044,7034,3.3,14,768,218,2,8,1195
9/20/18,3517,9920,4.7,8,844,156,10,56,1565
9/21/18,3105,8185,3.9,9,797,163,6,26,1172
9/22/18,5199,16219,7.7,10,581,319,78,98,3596
9/23/18,2787,5807,2.7,12,773,46,7,46,745
9/24/18,2771,4500,2.1,7,841,167,0,0,822
9/25/18,2820,5219,2.5,6,767,142,2,11,853
9/26/18,3613,10466,4.9,9,707,163,3,63,1677
9/27/18,3348,9751,4.6,7,849,167,10,42,1427
9/28/18,2970,4531,2.1,4,775,235,0,0,1068
9/29/18,3043,7043,3.3,5,788,218,4,5,1220
9/30/18,4184,15991,7.5,9,652,254,45,72,2504
